HomeTeam,AwayTeam,HomeScore,AwayScore
Harlequins,Wasps,26,21
Worcester Warriors,Northampton Saints,13,12
Newcastle Falcons,Gloucester Rugby,27,39
Bath Rugby,Exeter Chiefs,19,17
Saracens,Sale Sharks,41,3
London Irish,Leicester Tigers,16,28
Gloucester Rugby,Saracens,15,17
Sale Sharks,Worcester Warriors,27,13
Northampton Saints,Newcastle Falcons,42,16
Wasps,Bath Rugby,16,9
Exeter Chiefs,London Irish,38,11
Leicester Tigers,Harlequins,22,19
Saracens,London Irish,24,14
Bath Rugby,Harlequins,28,38
Gloucester Rugby,Worcester Warriors,24,22
Newcastle Falcons,Exeter Chiefs,3,41
Sale Sharks,Northampton Saints,20,13
Leicester Tigers,Wasps,24,16
Harlequins,Sale Sharks,16,14
London Irish,Bath Rugby,14,45
Worcester Warriors,Newcastle Falcons,28,20
Northampton Saints,Saracens,6,12
Exeter Chiefs,Leicester Tigers,19,6
Wasps,Gloucester Rugby,23,3
Northampton Saints,Gloucester Rugby,15,3
Sale Sharks,Newcastle Falcons,15,15
Exeter Chiefs,Harlequins,26,25
Saracens,Worcester Warriors,48,18
London Irish,Wasps,15,33
Leicester Tigers,Bath Rugby,21,11
Gloucester Rugby,Sale Sharks,23,19
Harlequins,London Irish,38,7
Worcester Warriors,Leicester Tigers,20,29
Bath Rugby,Northampton Saints,11,13
Wasps,Exeter Chiefs,27,41
Newcastle Falcons,Saracens,3,38
London Irish,Northampton Saints,25,23
Exeter Chiefs,Sale Sharks,33,17
Leicester Tigers,Newcastle Falcons,22,10
Wasps,Saracens,16,26
Bath Rugby,Worcester Warriors,21,14
Harlequins,Gloucester Rugby,39,39
Northampton Saints,Exeter Chiefs,8,3
Gloucester Rugby,London Irish,27,14
Newcastle Falcons,Bath Rugby,19,14
Saracens,Leicester Tigers,26,6
Sale Sharks,Wasps,15,9
Worcester Warriors,Harlequins,20,24
Exeter Chiefs,Gloucester Rugby,19,10
Harlequins,Saracens,29,23
Leicester Tigers,Northampton Saints,30,27
London Irish,Newcastle Falcons,20,15
Wasps,Worcester Warriors,32,22
Northampton Saints,Wasps,11,24
Sale Sharks,London Irish,38,10
Gloucester Rugby,Leicester Tigers,18,19
Saracens,Bath Rugby,19,13
Newcastle Falcons,Harlequins,26,19
Worcester Warriors,Exeter Chiefs,15,30
Bath Rugby,Gloucester Rugby,11,15
Harlequins,Northampton Saints,23,27
Wasps,Newcastle Falcons,9,8
Leicester Tigers,Sale Sharks,3,10
Exeter Chiefs,Saracens,11,14
London Irish,Worcester Warriors,20,13
Newcastle Falcons,Leicester Tigers,26,14
Sale Sharks,Exeter Chiefs,23,17
Gloucester Rugby,Harlequins,28,6
Northampton Saints,London Irish,35,7
Worcester Warriors,Bath Rugby,14,16
Saracens,Wasps,23,64
Harlequins,Leicester Tigers,25,19
Saracens,Gloucester Rugby,25,12
Worcester Warriors,Sale Sharks,31,23
Bath Rugby,Wasps,18,24
London Irish,Exeter Chiefs,15,22
Newcastle Falcons,Northampton Saints,26,25
Sale Sharks,Saracens,36,36
Northampton Saints,Worcester Warriors,38,18
Gloucester Rugby,Newcastle Falcons,32,6
Exeter Chiefs,Bath Rugby,26,17
Leicester Tigers,London Irish,47,20
Wasps,Harlequins,42,10
Newcastle Falcons,Worcester Warriors,14,15
Sale Sharks,Harlequins,29,23
Gloucester Rugby,Wasps,13,10
Bath Rugby,London Irish,25,17
Saracens,Northampton Saints,15,20
Leicester Tigers,Exeter Chiefs,31,27
Harlequins,Bath Rugby,35,28
Wasps,Leicester Tigers,36,24
Northampton Saints,Sale Sharks,26,11
Worcester Warriors,Gloucester Rugby,28,20
Exeter Chiefs,Newcastle Falcons,32,17
London Irish,Saracens,16,26
Bath Rugby,Newcastle Falcons,21,19
Harlequins,Worcester Warriors,15,21
Exeter Chiefs,Northampton Saints,20,12
Wasps,Sale Sharks,39,12
London Irish,Gloucester Rugby,23,18
Leicester Tigers,Saracens,21,13
Saracens,Exeter Chiefs,36,18
Gloucester Rugby,Bath Rugby,12,17
Worcester Warriors,London Irish,12,6
Sale Sharks,Leicester Tigers,27,20
Newcastle Falcons,Wasps,20,34
Northampton Saints,Harlequins,29,23
Bath Rugby,Saracens,10,30
Exeter Chiefs,Worcester Warriors,50,12
Harlequins,Newcastle Falcons,46,25
London Irish,Sale Sharks,15,30
Leicester Tigers,Gloucester Rugby,35,30
Wasps,Northampton Saints,28,6
Gloucester Rugby,Exeter Chiefs,16,9
Worcester Warriors,Wasps,35,54
Saracens,Harlequins,22,12
Northampton Saints,Leicester Tigers,24,30
Sale Sharks,Bath Rugby,29,17
Newcastle Falcons,London Irish,13,6
Bath Rugby,Sale Sharks,32,26
Sale Sharks,Gloucester Rugby,11,12
Leicester Tigers,Worcester Warriors,31,17
Northampton Saints,Bath Rugby,15,14
Exeter Chiefs,Wasps,24,3
London Irish,Harlequins,25,32
Saracens,Newcastle Falcons,23,14
Bath Rugby,Leicester Tigers,38,27
Gloucester Rugby,Northampton Saints,20,28
Harlequins,Exeter Chiefs,24,62
Newcastle Falcons,Sale Sharks,15,21
Wasps,London Irish,38,12
Worcester Warriors,Saracens,19,43
Saracens,Leicester Tigers,44,17
Exeter Chiefs,Wasps,34,23
Exeter Chiefs,Saracens,20,28
Newcastle Falcons,Worcester Warriors,16,14
