HomeTeam,AwayTeam,HomeScore,AwayScore,HomeTries,AwayTries,HomeConversions,AwayConversions,HomePenalties,AwayPenalties
Gloucester Rugby,Leicester Tigers,31,38,4,5,4,5,1,1
Newcastle Falcons,Sale Sharks,19,17,1,2,1,2,4,1
Saracens,Worcester Warriors,35,3,4,0,3,0,3,1
Northampton Saints,Bath Rugby,14,18,2,0,2,0,0,6
Harlequins,Bristol Rugby,21,19,2,3,1,2,3,0
Wasps,Exeter Chiefs,25,20,3,2,2,2,2,2
Worcester Warriors,Gloucester Rugby,23,23,3,2,1,2,2,3
Sale Sharks,Harlequins,19,10,1,1,1,1,4,1
Bath Rugby,Newcastle Falcons,58,5,8,1,6,0,2,0
Leicester Tigers,Wasps,22,34,2,4,0,4,4,2
Bristol Rugby,Northampton Saints,10,32,1,4,1,3,1,2
Exeter Chiefs,Saracens,13,34,1,5,1,3,2,1
Sale Sharks,Gloucester Rugby,13,26,2,2,0,2,1,4
Bath Rugby,Worcester Warriors,37,22,4,3,4,2,3,1
Exeter Chiefs,Harlequins,36,25,5,3,4,2,1,2
Saracens,Northampton Saints,27,12,2,0,1,0,5,4
Wasps,Bristol Rugby,70,22,10,3,7,2,2,1
Newcastle Falcons,Leicester Tigers,13,14,1,1,1,0,2,3
Bristol Rugby,Exeter Chiefs,17,41,3,5,1,5,0,2
Gloucester Rugby,Newcastle Falcons,13,18,1,2,1,1,2,2
Harlequins,Saracens,17,10,2,1,2,1,1,1
Northampton Saints,Wasps,15,20,2,2,1,2,1,2
Worcester Warriors,Sale Sharks,34,34,5,4,3,4,1,2
Leicester Tigers,Bath Rugby,34,14,3,2,2,2,5,0
Bristol Rugby,Saracens,0,39,0,5,0,4,0,2
Northampton Saints,Exeter Chiefs,20,19,2,1,2,1,2,4
Sale Sharks,Leicester Tigers,34,30,4,3,4,3,2,3
Gloucester Rugby,Bath Rugby,6,15,0,2,0,1,2,1
Wasps,Harlequins,47,18,7,2,6,1,0,2
Worcester Warriors,Newcastle Falcons,11,9,1,0,0,0,2,3
Bath Rugby,Sale Sharks,30,3,3,0,3,0,3,1
Exeter Chiefs,Gloucester Rugby,27,27,4,3,2,3,1,2
Harlequins,Northampton Saints,20,9,1,0,0,0,5,3
Leicester Tigers,Worcester Warriors,34,13,4,1,4,1,2,2
Newcastle Falcons,Bristol Rugby,19,14,3,2,2,2,0,0
Saracens,Wasps,30,14,4,1,2,0,2,3
Northampton Saints,Gloucester Rugby,23,20,2,2,2,2,3,2
Harlequins,Worcester Warriors,36,14,5,2,4,2,1,0
Saracens,Leicester Tigers,24,10,3,1,3,1,1,1
Wasps,Newcastle Falcons,31,6,4,0,4,0,1,2
Bristol Rugby,Sale Sharks,13,31,1,5,1,3,2,0
Exeter Chiefs,Bath Rugby,10,13,1,1,1,1,1,2
Bath Rugby,Bristol Rugby,16,9,1,0,1,0,3,3
Worcester Warriors,Northampton Saints,17,18,2,0,2,0,1,6
Newcastle Falcons,Exeter Chiefs,19,32,2,4,0,3,3,2
Gloucester Rugby,Wasps,36,18,5,2,4,1,1,2
Sale Sharks,Saracens,13,28,1,3,1,2,2,3
Leicester Tigers,Harlequins,25,6,1,0,1,0,6,2
Bristol Rugby,Leicester Tigers,16,21,1,2,1,1,3,3
Northampton Saints,Newcastle Falcons,16,22,1,3,1,2,3,1
Exeter Chiefs,Worcester Warriors,57,22,8,3,7,2,1,1
Saracens,Gloucester Rugby,24,20,2,2,1,2,4,2
Wasps,Sale Sharks,34,24,5,3,3,3,1,1
Harlequins,Bath Rugby,21,20,2,2,1,2,3,2
Sale Sharks,Exeter Chiefs,3,21,0,3,0,3,1,0
Bath Rugby,Saracens,14,11,1,1,0,0,3,2
Gloucester Rugby,Bristol Rugby,26,18,4,2,3,1,0,2
Leicester Tigers,Northampton Saints,19,11,1,1,1,0,4,2
Newcastle Falcons,Harlequins,38,32,6,4,4,3,0,2
Worcester Warriors,Wasps,12,26,0,2,0,2,4,4
Northampton Saints,Sale Sharks,24,5,3,1,3,0,1,0
Saracens,Newcastle Falcons,21,6,2,0,1,0,3,2
Wasps,Bath Rugby,40,26,4,4,4,3,4,0
Exeter Chiefs,Leicester Tigers,31,10,4,2,4,0,1,0
Bristol Rugby,Worcester Warriors,28,20,3,2,2,2,3,2
Harlequins,Gloucester Rugby,28,24,3,3,2,3,3,1
Newcastle Falcons,Wasps,30,34,4,4,2,4,2,2
Bath Rugby,Exeter Chiefs,11,17,1,2,0,2,2,1
Sale Sharks,Bristol Rugby,23,24,3,3,1,3,2,1
Gloucester Rugby,Northampton Saints,12,13,0,1,0,1,4,2
Leicester Tigers,Saracens,12,16,0,1,0,1,4,3
Worcester Warriors,Harlequins,24,17,2,2,1,2,4,1
Newcastle Falcons,Bath Rugby,24,22,3,3,3,2,1,1
Gloucester Rugby,Worcester Warriors,55,19,7,3,7,2,2,0
Harlequins,Sale Sharks,29,26,2,3,2,1,5,3
Northampton Saints,Bristol Rugby,32,26,4,2,3,2,2,4
Saracens,Exeter Chiefs,13,13,1,1,1,1,2,2
Wasps,Leicester Tigers,22,16,3,1,2,1,1,3
Bath Rugby,Northampton Saints,32,30,4,3,3,3,2,3
Bristol Rugby,Harlequins,8,42,1,5,0,4,1,3
Sale Sharks,Newcastle Falcons,26,24,3,4,1,2,3,0
Leicester Tigers,Gloucester Rugby,34,9,4,0,4,0,2,3
Worcester Warriors,Saracens,24,18,0,2,0,1,8,2
Exeter Chiefs,Wasps,35,35,5,5,5,5,0,0
Gloucester Rugby,Saracens,31,23,3,2,2,2,4,3
Bath Rugby,Harlequins,22,12,1,2,1,1,5,0
Leicester Tigers,Bristol Rugby,50,17,8,2,5,2,0,1
Worcester Warriors,Exeter Chiefs,32,48,4,7,3,5,2,1
Newcastle Falcons,Northampton Saints,46,31,7,4,4,4,1,1
Sale Sharks,Wasps,34,28,4,3,4,2,2,3
Harlequins,Leicester Tigers,18,27,2,3,1,3,2,2
Saracens,Sale Sharks,29,18,3,2,1,1,4,2
Exeter Chiefs,Newcastle Falcons,36,14,5,2,4,2,1,0
Northampton Saints,Worcester Warriors,24,14,3,2,3,2,1,0
Bristol Rugby,Bath Rugby,12,11,0,1,0,0,4,2
Wasps,Gloucester Rugby,35,22,5,3,2,2,2,1
Leicester Tigers,Exeter Chiefs,15,34,2,4,1,4,1,2
Sale Sharks,Northampton Saints,12,32,2,4,1,3,0,2
Bath Rugby,Wasps,3,24,0,3,0,3,1,1
Gloucester Rugby,Harlequins,27,30,4,4,3,2,2,2
Newcastle Falcons,Saracens,27,35,3,5,3,2,2,2
Worcester Warriors,Bristol Rugby,41,24,6,3,4,3,1,1
Bristol Rugby,Gloucester Rugby,14,32,1,4,0,3,3,2
Exeter Chiefs,Sale Sharks,30,25,4,1,2,1,2,6
Harlequins,Newcastle Falcons,53,17,7,2,6,2,2,1
Northampton Saints,Leicester Tigers,31,36,3,3,2,3,4,5
Wasps,Worcester Warriors,40,33,6,5,5,4,0,0
Saracens,Bath Rugby,53,10,8,1,5,1,1,1
Sale Sharks,Worcester Warriors,36,26,5,4,4,3,1,0
Newcastle Falcons,Gloucester Rugby,16,14,1,2,1,2,3,0
Bath Rugby,Leicester Tigers,27,21,3,2,3,1,2,3
Exeter Chiefs,Bristol Rugby,38,34,5,4,5,4,1,2
Saracens,Harlequins,40,19,4,1,4,1,4,4
Wasps,Northampton Saints,32,30,4,5,3,1,2,1
Harlequins,Exeter Chiefs,26,39,3,5,1,4,3,2
Gloucester Rugby,Sale Sharks,39,30,5,4,4,2,2,2
Leicester Tigers,Newcastle Falcons,30,3,4,0,2,0,2,1
Worcester Warriors,Bath Rugby,25,19,3,1,2,1,2,4
Bristol Rugby,Wasps,21,36,3,6,3,3,0,0
Northampton Saints,Saracens,25,27,3,2,2,1,2,5
Harlequins,Wasps,32,13,2,1,2,1,6,2
Newcastle Falcons,Worcester Warriors,16,14,1,2,1,2,3,0
Exeter Chiefs,Northampton Saints,36,12,6,2,3,1,0,0
Leicester Tigers,Sale Sharks,41,18,5,2,5,1,2,2
Saracens,Bristol Rugby,27,9,4,0,2,0,1,3
Bath Rugby,Gloucester Rugby,44,20,6,3,4,1,2,1
Bristol Rugby,Newcastle Falcons,27,39,4,5,2,4,1,2
Gloucester Rugby,Exeter Chiefs,20,34,3,4,1,4,1,2
Northampton Saints,Harlequins,22,20,3,2,2,2,1,2
Sale Sharks,Bath Rugby,27,24,3,3,3,3,2,1
Wasps,Saracens,35,15,5,2,2,1,2,1
Worcester Warriors,Leicester Tigers,23,28,3,1,1,1,2,7
Exeter Chiefs,Saracens,18,16,2,2,1,0,2,2
Wasps,Leicester Tigers,21,20,2,2,1,2,3,2
Exeter Chiefs,Wasps,23,20,2,2,2,2,3,2
